Name
刀
剣
銃
ソード
ウルミ
カタール
クレイモア
セイバー
サーベル
サクス
ナイフ
ダガー
ツヴァイヘンダー
ファルシオン
レイピア
長巻
脇差
鎌
槍
イクルワ
コルセスカ
サリッサ
薙
バルディッシュ
鉾
ランス
打撃
金砕棒
棍棒
バット
トンファー
ヌンチャク
レイオマノ
火炎瓶
手裏剣
手榴弾
トマホーク
ブーメラン
ボーラ
射出
火炎放射器
クロスボウ
スティンガー
吹き矢
ボウガン
スタンガン
毒針
バグナク
アイスピック
チェーンソー
バール
ハンマー
フライパン
包丁
丸太
