宗教,宗派
北伝仏教,御室派
北伝仏教,醍醐派
北伝仏教,大覚寺派
北伝仏教,善通寺派
北伝仏教,信貴山派
北伝仏教,圓光寺
北伝仏教,真言律宗
北伝仏教,天台宗 
北伝仏教,山門派
北伝仏教,天台寺門宗
北伝仏教,天台真盛宗
北伝仏教,和宗
北伝仏教,聖徳宗
北伝仏教,聖観音宗
北伝仏教,本山修験宗
北伝仏教,浄土宗 
北伝仏教,鎮西派
北伝仏教,西山派
北伝仏教,浄土真宗 
北伝仏教,浄土真宗本願寺派
北伝仏教,真宗大谷派
北伝仏教,真宗高田派
北伝仏教,真宗佛光寺派
北伝仏教,真宗興正派
北伝仏教,真宗木辺派
北伝仏教,真宗出雲路派
北伝仏教,真宗誠照寺派
北伝仏教,真宗三門徒派
北伝仏教,真宗山元派
北伝仏教,真宗浄興寺派
北伝仏教,浄土真宗東本願寺派
北伝仏教,時宗
北伝仏教,融通念仏宗
北伝仏教,日蓮宗 
北伝仏教,日蓮正宗 
北伝仏教,日蓮法華宗
北伝仏教,日蓮本宗
北伝仏教,日蓮主義仏立講
北伝仏教,国柱会
北伝仏教,日本山妙法寺大僧伽
北伝仏教,禅宗 
北伝仏教,臨済宗 
北伝仏教,南禅寺派
北伝仏教,妙心寺派
北伝仏教,大徳寺派
北伝仏教,天龍寺派
北伝仏教,相国寺派
北伝仏教,東福寺派
北伝仏教,建仁寺派
北伝仏教,建長寺派
北伝仏教,円覚寺派
北伝仏教,国泰寺派
北伝仏教,佛通寺派
北伝仏教,向嶽寺派
北伝仏教,方広寺派
北伝仏教,永源寺派
北伝仏教,曹洞宗
北伝仏教,黄檗宗
北伝仏教,普化宗
北伝仏教,チベット仏教 
北伝仏教,ゲルク派
北伝仏教,サキャ派
北伝仏教,カギュ派
北伝仏教,ニンマ派
西アジアの宗教,西アジアの宗教
西アジアの宗教,マンダ教
西アジアの宗教,ヤジディ教
西アジアの宗教,サマリア教
中央アジアの宗教,中央アジアの宗教
中央アジアの宗教,ボン教
中央アジアの宗教,ポン教
東アジアの宗教,東アジアの宗教
東アジアの宗教,儒教
東アジアの宗教,道教 
東アジアの宗教,正一教
東アジアの宗教,全真教
東アジアの宗教,法教
東アジアの宗教,神道 
東アジアの宗教,神社本庁
東アジアの宗教,修験道
東アジアの宗教,琉球神道
東アジアの宗教,カムイ信仰
東アジアの宗教,日本の新宗教 
東アジアの宗教,黒住教
東アジアの宗教,天理教 
東アジアの宗教,ほんぶしん
東アジアの宗教,おうかんみち
